,locName,catName,distance
772,The Botany,Pub,615
773,Munns Vaults,Pub,698
774,Ambassador Hotel,Hotel,737
775,Embassy Apartments,Cottage / Cabin,741
776,Botanic Gardens Railway Station,Historic and Protected Site,991
777,Allison Arms,Arts and Entertainment,737
778,The Bungo,Bar,670
779,McMillan's Bar & Chop House,Bar,281
780,Koelschip Yard,Beer Bar,808
781,Rum Shack,Cocktail Bar,746
782,Marchtown,Wine Bar,604
783,The butterfly and the pig,Arts and Entertainment,85
784,Linen 1906,Wine Bar,228
785,Church on the Hill,Pub,617
786,The Ivory Hotel,Hotel,459
787,The Butchershop Bar & Grill,Wine Bar,397
788,BrewDog Glasgow,Beer Bar,460
789,The SSE Hydro,Concert Hall,668
790,The 78,Bar,404
791,Islay Inn,Pub,349
792,Village Hotel Glasgow,Hotel,879
793,Radisson RED Glasgow,Lodging,911
794,Lebowskis,Cocktail Bar,716
795,Taphouse Bar & Kitchen,Wine Bar,636
796,Strip Joint,Bar,822
797,Hotel Motel One,Lodging,26
798,The Smoking Fox,Bar,194
799,The Pot Still,Whisky Bar,497
800,Stereo,Wine Bar,304
801,Kimpton Blythswood Square Hotel,Hotel,555
802,Max's Bar and Grill,Cocktail Bar,498
803,The Butterfly & the Pig,Bar,649
804,Rhoderick Dhu,Beer Bar,195
805,Anchor Line,Cocktail Bar,545
806,The Citizen Bar & Dining Rooms,Cocktail Bar,525
807,Inn Deep,Beer Bar,618
808,Dram,Bar,589
809,The Belle,Bar,955
810,The Crafty Pig,Beer Garden,734
811,The Drake,Bar,740
812,Old Schoolhouse Glasgow,Pub,582
813,Arlington Bar,Pub,675
814,The Garage,Night Club,949
815,The Woodside Inn,Pub,33
816,St Columba's Church,Historic and Protected Site,107
817,The Clutha Bar,Beer Bar,434
818,Max's Bar and Grill,Cocktail Bar,367
819,Hotel Motel One,Lodging,302
820,The Pot Still,Whisky Bar,687
821,The Smoking Fox,Bar,448
822,Stereo,Wine Bar,492
823,Anchor Line,Cocktail Bar,508
824,The Citizen Bar & Dining Rooms,Cocktail Bar,501
825,Republic Bier Halle,Beer Garden,399
826,The Z Hotel Glasgow,Hotel,695
827,Village Hotel Glasgow,Hotel,575
828,GoGlasgow Urban Hotel,Hotel,617
829,"Crowne Plaza Glasgow, an IHG Hotel",Lodging,904
830,The Louden Tavern,Arts and Entertainment,662
831,Premier Inn Glasgow Pacific Quay hotel,Lodging,725
832,Sherbrooke Castle Hotel,Hotel,978
833,Kensington Bar,Wine Bar,149
834,District Bar,Sports Bar,322
835,The Louden Tavern,Arts and Entertainment,375
836,The Grapes Bar,Pub,447
837,Allison Arms,Arts and Entertainment,872
838,The Bungo,Bar,932
839,Koelschip Yard,Beer Bar,799
840,Rum Shack,Cocktail Bar,864
841,Marchtown,Wine Bar,1000
842,Star Bar,Night Club,14
843,Bar Vini,Wine Bar,272
844,Sugar Rush,Hookah Bar,422
845,Urban Shisha Lounge,Lounge,409
846,Brazen Heid,Bar,711
847,Ubiquitous Chip,Bar,232
848,BrewDog Glasgow,Beer Bar,503
849,Hillhead Bookclub,Cocktail Bar,494
850,The Belle,Bar,582
851,The Butchershop Bar & Grill,Wine Bar,681
852,Inn Deep,Beer Bar,750
